timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-ylint-prod-01"", mode=~""idle""}[1m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-ylint-prod-01""}","node_load5{hostname=~""bj3-rd-ylint-prod-01""}","node_load15{hostname=~""bj3-rd-ylint-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-ylint-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-ylint-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-ylint-prod-01""}","probe_duration_seconds{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1694611212,0.03524273119133514,0.23,0.37,0.39,44.71500686283506,0.6234853497954547,0.45589047325371135,42.678047479327816,3.134169111763137,0.04074419845321577,0.002867431311477368,370923.44625233393,22124.299813283542,273,108,1.9338490264070418,3.267538010136036,322,256,0.000357851,14166270.472125899,650705.7882101893
1694611332,0.024833333368102672,0.19,0.33,0.38,26.62471274691075,0.6234883629608491,0.45597310859084805,0,1.4,0,0.000533333335382243,0,16110.933333333332,274,182,1.8,3.3333333333333335,323,257,0.000361012,18997823.466666665,552358.9333333333
1694611452,0.05816666657725966,0.65,0.48,0.43,28.271195226668798,0.6235578601626877,0.4557741400159727,0,4.266666666666667,0,0.0034000000062709055,0,63351.46666666667,269,164,6,3.2,319,254,0.000420642,17963180.266666666,630535.4666666667
1694611572,0.02658333318928885,0.18,0.35,0.39,26.97873936651054,0.6235599985381288,0.45590055413696695,0,1.3333333333333333,0,0.0007333333371207118,0,14745.6,272,171,1.7333333333333334,3.2666666666666666,321,252,0.00034661,17355342.933333334,551568
1694611692,0.02116666684548063,0.15,0.29,0.36,27.231873524685703,0.6235619425158025,0.45577258583135694,0,1.6666666666666667,0,0.000599999997454385,0,33587.2,276,184,2,3.3333333333333335,325,257,0.000331108,16107871.466666667,517486.4
1694611812,0.03641666670640309,0.22,0.31,0.37,28.5487227121768,0.6235644696867786,0.45610298958999396,0,4.333333333333333,0,0.0032666666666045785,0,43144.53333333333,276,168,1.6,3.3333333333333335,325,258,0.000430499,11877529.6,559378.1333333333
1694611932,0.044666666413346934,0.21,0.29,0.35,28.65481355151226,0.6235672884544056,0.45614901244590267,0,2.466666666666667,0,0.001466666666480402,0,33587.2,275,116,1.6666666666666667,3.3333333333333335,324,257,0.00032235,12873902.4,510819.2
1694612052,0.025166666507720925,0.42,0.34,0.36,34.32711024856544,0.6236364940595931,0.45623556231286944,0,1.7333333333333334,0,0.0013999999966472388,0,95300.26666666666,271,114,2.066666666666667,3.2,320,255,0.000360809,8964356.266666668,456336
1694612172,0.021416666607062096,0.23,0.29,0.34,26.715891807356417,0.6236384380372668,0.4562777869121114,0,5.533333333333333,0,0.0038666666640589636,0,48059.73333333333,273,98,1.5333333333333334,3.2666666666666666,322,253,0.000379975,12237990.933333334,494915.73333333334
1694612292,0.01941666652758911,0.05,0.2,0.3,27.28192926691645,0.6236406736115917,0.45628527684171205,0,1.4666666666666666,0,0.00046666667331010105,0,16384,276,100,1.4666666666666666,3.2666666666666666,325,258,0.000353613,9992075.733333332,455403.73333333334
